"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","MFP","TOT","AGRWTH","A","1988",0.681448,
"CAN","MFP","TOT","AGRWTH","A","1989",-0.357566,
"CAN","MFP","TOT","AGRWTH","A","1990",-1.073132,
"CAN","MFP","TOT","AGRWTH","A","1991",-0.929653,
"CAN","MFP","TOT","AGRWTH","A","1992",0.984743,
"CAN","MFP","TOT","AGRWTH","A","1993",1.491561,
"CAN","MFP","TOT","AGRWTH","A","1994",1.815089,
"CAN","MFP","TOT","AGRWTH","A","1995",0.795708,
"CAN","MFP","TOT","AGRWTH","A","1996",-0.616058,
"CAN","MFP","TOT","AGRWTH","A","1997",1.190728,
"CAN","MFP","TOT","AGRWTH","A","1998",1.160838,
"CAN","MFP","TOT","AGRWTH","A","1999",1.951316,
"CAN","MFP","TOT","AGRWTH","A","2000",2.373082,
"CAN","MFP","TOT","AGRWTH","A","2001",0.437081,
"CAN","MFP","TOT","AGRWTH","A","2002",1.04271,
"CAN","MFP","TOT","AGRWTH","A","2003",-0.355705,
"CAN","MFP","TOT","AGRWTH","A","2004",0.301475,
"CAN","MFP","TOT","AGRWTH","A","2005",1.152795,
"CAN","MFP","TOT","AGRWTH","A","2006",0.312278,
"CAN","MFP","TOT","AGRWTH","A","2007",-0.656349,
"CAN","MFP","TOT","AGRWTH","A","2008",-0.990776,
"CAN","MFP","TOT","AGRWTH","A","2009",-1.074298,
"CAN","MFP","TOT","AGRWTH","A","2010",0.836047,
"CAN","MFP","TOT","AGRWTH","A","2011",1.298101,
"CAN","MFP","TOT","AGRWTH","A","2012",-0.372994,
"CAN","MFP","TOT","AGRWTH","A","2013",0.927898,
"CAN","MFP","TOT","AGRWTH","A","2014",2.088069,
"CAN","MFP","TOT","AGRWTH","A","2015",-0.493536,
"CAN","MFP","TOT","AGRWTH","A","2016",0.398101,
"CAN","MFP","TOT","AGRWTH","A","2017",1.514772,
"CAN","MFP","TOT","AGRWTH","A","2018",0.292319,
"CAN","MFP","TOT","AGRWTH","A","2019",0.256654,
"CAN","MFP","TOT","AGRWTH","A","2020",3.561672,
"CAN","MFP","TOT","AGRWTH","A","2021",-2.673233,
"CAN","MFP","TOT","AGRWTH","A","2022",-0.39534,
"DNK","MFP","TOT","AGRWTH","A","1985",1.438361,
"DNK","MFP","TOT","AGRWTH","A","1986",1.215432,
"DNK","MFP","TOT","AGRWTH","A","1987",-0.081054,
"DNK","MFP","TOT","AGRWTH","A","1988",0.100139,
"DNK","MFP","TOT","AGRWTH","A","1989",0.260352,
"DNK","MFP","TOT","AGRWTH","A","1990",1.180738,
"DNK","MFP","TOT","AGRWTH","A","1991",0.997652,
"DNK","MFP","TOT","AGRWTH","A","1992",0.697692,
"DNK","MFP","TOT","AGRWTH","A","1993",0.35054,
"DNK","MFP","TOT","AGRWTH","A","1994",4.756838,
"DNK","MFP","TOT","AGRWTH","A","1995",0.652587,
"DNK","MFP","TOT","AGRWTH","A","1996",1.217129,
"DNK","MFP","TOT","AGRWTH","A","1997",-0.071671,
"DNK","MFP","TOT","AGRWTH","A","1998",-0.99738,
"DNK","MFP","TOT","AGRWTH","A","1999",0.131287,
"DNK","MFP","TOT","AGRWTH","A","2000",1.349355,
"DNK","MFP","TOT","AGRWTH","A","2001",-1.211853,
"DNK","MFP","TOT","AGRWTH","A","2002",-0.384888,
"DNK","MFP","TOT","AGRWTH","A","2003",0.320349,
"DNK","MFP","TOT","AGRWTH","A","2004",2.015859,
"DNK","MFP","TOT","AGRWTH","A","2005",0.713501,
"DNK","MFP","TOT","AGRWTH","A","2006",0.825207,
"DNK","MFP","TOT","AGRWTH","A","2007",-0.677916,
"DNK","MFP","TOT","AGRWTH","A","2008",-2.238497,
"DNK","MFP","TOT","AGRWTH","A","2009",-2.866508,
"DNK","MFP","TOT","AGRWTH","A","2010",2.61859,
"DNK","MFP","TOT","AGRWTH","A","2011",0.26075,
"DNK","MFP","TOT","AGRWTH","A","2012",0.970114,
"DNK","MFP","TOT","AGRWTH","A","2013",0.387716,
"DNK","MFP","TOT","AGRWTH","A","2014",1.111714,
"DNK","MFP","TOT","AGRWTH","A","2015",1.16626,
"DNK","MFP","TOT","AGRWTH","A","2016",1.083241,
"DNK","MFP","TOT","AGRWTH","A","2017",1.462677,
"DNK","MFP","TOT","AGRWTH","A","2018",1.414727,
"DNK","MFP","TOT","AGRWTH","A","2019",0.420164,
"DNK","MFP","TOT","AGRWTH","A","2020",-0.385681,
"DNK","MFP","TOT","AGRWTH","A","2021",1.581405,
"DNK","MFP","TOT","AGRWTH","A","2022",-0.22749,
"FIN","MFP","TOT","AGRWTH","A","1985",2.303874,
"FIN","MFP","TOT","AGRWTH","A","1986",2.648799,
"FIN","MFP","TOT","AGRWTH","A","1987",1.293271,
"FIN","MFP","TOT","AGRWTH","A","1988",3.421478,
"FIN","MFP","TOT","AGRWTH","A","1989",2.687717,
"FIN","MFP","TOT","AGRWTH","A","1990",0.636098,
"FIN","MFP","TOT","AGRWTH","A","1991",-2.073459,
"FIN","MFP","TOT","AGRWTH","A","1992",0.851896,
"FIN","MFP","TOT","AGRWTH","A","1993",3.062137,
"FIN","MFP","TOT","AGRWTH","A","1994",3.88486,
"FIN","MFP","TOT","AGRWTH","A","1995",1.86242,
"FIN","MFP","TOT","AGRWTH","A","1996",1.87457,
"FIN","MFP","TOT","AGRWTH","A","1997",3.181214,
"FIN","MFP","TOT","AGRWTH","A","1998",3.39993,
"FIN","MFP","TOT","AGRWTH","A","1999",1.901669,
"FIN","MFP","TOT","AGRWTH","A","2000",3.72249,
"FIN","MFP","TOT","AGRWTH","A","2001",1.250274,
"FIN","MFP","TOT","AGRWTH","A","2002",0.508175,
"FIN","MFP","TOT","AGRWTH","A","2003",1.39842,
"FIN","MFP","TOT","AGRWTH","A","2004",2.839296,
"FIN","MFP","TOT","AGRWTH","A","2005",1.40776,
"FIN","MFP","TOT","AGRWTH","A","2006",2.171509,
"FIN","MFP","TOT","AGRWTH","A","2007",2.869646,
"FIN","MFP","TOT","AGRWTH","A","2008",-1.490159,
"FIN","MFP","TOT","AGRWTH","A","2009",-6.129907,
"FIN","MFP","TOT","AGRWTH","A","2010",2.932753,
"FIN","MFP","TOT","AGRWTH","A","2011",1.331807,
"FIN","MFP","TOT","AGRWTH","A","2012",-1.862754,
"FIN","MFP","TOT","AGRWTH","A","2013",-0.185158,
"FIN","MFP","TOT","AGRWTH","A","2014",-0.110019,
"FIN","MFP","TOT","AGRWTH","A","2015",0.573134,
"FIN","MFP","TOT","AGRWTH","A","2016",2.246799,
"FIN","MFP","TOT","AGRWTH","A","2017",2.344634,
"FIN","MFP","TOT","AGRWTH","A","2018",-0.968653,
"FIN","MFP","TOT","AGRWTH","A","2019",-0.086536,
"FIN","MFP","TOT","AGRWTH","A","2020",-0.84334,
"FIN","MFP","TOT","AGRWTH","A","2021",0.953264,
"FIN","MFP","TOT","AGRWTH","A","2022",1.326559,
"FRA","MFP","TOT","AGRWTH","A","1985",2.523118,
"FRA","MFP","TOT","AGRWTH","A","1986",1.291771,
"FRA","MFP","TOT","AGRWTH","A","1987",0.376189,
"FRA","MFP","TOT","AGRWTH","A","1988",2.404303,
"FRA","MFP","TOT","AGRWTH","A","1989",2.444975,
"FRA","MFP","TOT","AGRWTH","A","1990",1.184775,
"FRA","MFP","TOT","AGRWTH","A","1991",-0.003742,
"FRA","MFP","TOT","AGRWTH","A","1992",1.061737,
"FRA","MFP","TOT","AGRWTH","A","1993",-0.340811,
"FRA","MFP","TOT","AGRWTH","A","1994",1.284703,
"FRA","MFP","TOT","AGRWTH","A","1995",1.542474,
"FRA","MFP","TOT","AGRWTH","A","1996",0.314589,
"FRA","MFP","TOT","AGRWTH","A","1997",0.934752,
"FRA","MFP","TOT","AGRWTH","A","1998",1.685793,
"FRA","MFP","TOT","AGRWTH","A","1999",0.749978,
"FRA","MFP","TOT","AGRWTH","A","2000",1.747401,
"FRA","MFP","TOT","AGRWTH","A","2001",0.716022,
"FRA","MFP","TOT","AGRWTH","A","2002",1.54399,
"FRA","MFP","TOT","AGRWTH","A","2003",-0.133367,
"FRA","MFP","TOT","AGRWTH","A","2004",0.792324,
"FRA","MFP","TOT","AGRWTH","A","2005",0.351285,
"FRA","MFP","TOT","AGRWTH","A","2006",1.689158,
"FRA","MFP","TOT","AGRWTH","A","2007",-0.641991,
"FRA","MFP","TOT","AGRWTH","A","2008",-1.301801,
"FRA","MFP","TOT","AGRWTH","A","2009",-2.002866,
"FRA","MFP","TOT","AGRWTH","A","2010",0.900132,
"FRA","MFP","TOT","AGRWTH","A","2011",0.749234,
"FRA","MFP","TOT","AGRWTH","A","2012",-0.267817,
"FRA","MFP","TOT","AGRWTH","A","2013",0.594902,
"FRA","MFP","TOT","AGRWTH","A","2014",0.422687,
"FRA","MFP","TOT","AGRWTH","A","2015",0.31836,
"FRA","MFP","TOT","AGRWTH","A","2016",-0.111462,
"FRA","MFP","TOT","AGRWTH","A","2017",1.467069,
"FRA","MFP","TOT","AGRWTH","A","2018",0.074707,
"FRA","MFP","TOT","AGRWTH","A","2019",0.033709,
"FRA","MFP","TOT","AGRWTH","A","2020",-2.368239,
"FRA","MFP","TOT","AGRWTH","A","2021",-0.078816,
"FRA","MFP","TOT","AGRWTH","A","2022",-1.370419,
"DEU","MFP","TOT","AGRWTH","A","1985",1.486597,
"DEU","MFP","TOT","AGRWTH","A","1986",0.902782,
"DEU","MFP","TOT","AGRWTH","A","1987",0.614773,
"DEU","MFP","TOT","AGRWTH","A","1988",1.983947,
"DEU","MFP","TOT","AGRWTH","A","1989",2.655577,
"DEU","MFP","TOT","AGRWTH","A","1990",2.90778,
"DEU","MFP","TOT","AGRWTH","A","1991",2.747113,
"DEU","MFP","TOT","AGRWTH","A","1992",1.330781,
"DEU","MFP","TOT","AGRWTH","A","1993",0.435937,
"DEU","MFP","TOT","AGRWTH","A","1994",1.838938,
"DEU","MFP","TOT","AGRWTH","A","1995",0.886935,
"DEU","MFP","TOT","AGRWTH","A","1996",0.793733,
"DEU","MFP","TOT","AGRWTH","A","1997",1.601404,
"DEU","MFP","TOT","AGRWTH","A","1998",0.52905,
"DEU","MFP","TOT","AGRWTH","A","1999",0.466803,
"DEU","MFP","TOT","AGRWTH","A","2000",1.613868,
"DEU","MFP","TOT","AGRWTH","A","2001",1.42575,
"DEU","MFP","TOT","AGRWTH","A","2002",0.019033,
"DEU","MFP","TOT","AGRWTH","A","2003",-0.062241,
"DEU","MFP","TOT","AGRWTH","A","2004",0.634488,
"DEU","MFP","TOT","AGRWTH","A","2005",0.901495,
"DEU","MFP","TOT","AGRWTH","A","2006",1.599109,
"DEU","MFP","TOT","AGRWTH","A","2007",1.014527,
"DEU","MFP","TOT","AGRWTH","A","2008",-0.342359,
"DEU","MFP","TOT","AGRWTH","A","2009",-4.066657,
"DEU","MFP","TOT","AGRWTH","A","2010",2.416012,
"DEU","MFP","TOT","AGRWTH","A","2011",2.45463,
"DEU","MFP","TOT","AGRWTH","A","2012",0.222244,
"DEU","MFP","TOT","AGRWTH","A","2013",0.18584,
"DEU","MFP","TOT","AGRWTH","A","2014",1.016663,
"DEU","MFP","TOT","AGRWTH","A","2015",0.374022,
"DEU","MFP","TOT","AGRWTH","A","2016",1.150515,
"DEU","MFP","TOT","AGRWTH","A","2017",1.551932,
"DEU","MFP","TOT","AGRWTH","A","2018",-0.060114,
"DEU","MFP","TOT","AGRWTH","A","2019",0.346022,
"DEU","MFP","TOT","AGRWTH","A","2020",-0.406188,
"DEU","MFP","TOT","AGRWTH","A","2021",0.955313,
"DEU","MFP","TOT","AGRWTH","A","2022",0.457833,
"IRL","MFP","TOT","AGRWTH","A","1985",2.34764,
"IRL","MFP","TOT","AGRWTH","A","1986",-1.812328,
"IRL","MFP","TOT","AGRWTH","A","1987",4.352724,
"IRL","MFP","TOT","AGRWTH","A","1988",4.134561,
"IRL","MFP","TOT","AGRWTH","A","1989",4.771029,
"IRL","MFP","TOT","AGRWTH","A","1990",4.370939,
"IRL","MFP","TOT","AGRWTH","A","1991",2.940538,
"IRL","MFP","TOT","AGRWTH","A","1992",4.040605,
"IRL","MFP","TOT","AGRWTH","A","1993",2.067642,
"IRL","MFP","TOT","AGRWTH","A","1994",2.457441,
"IRL","MFP","TOT","AGRWTH","A","1995",4.736471,
"IRL","MFP","TOT","AGRWTH","A","1996",3.398845,
"IRL","MFP","TOT","AGRWTH","A","1997",6.05651,
"IRL","MFP","TOT","AGRWTH","A","1998",-0.404421,
"IRL","MFP","TOT","AGRWTH","A","1999",4.020276,
"IRL","MFP","TOT","AGRWTH","A","2000",4.38205,
"IRL","MFP","TOT","AGRWTH","A","2001",2.140657,
"IRL","MFP","TOT","AGRWTH","A","2002",3.433506,
"IRL","MFP","TOT","AGRWTH","A","2003",1.027317,
"IRL","MFP","TOT","AGRWTH","A","2004",2.980145,
"IRL","MFP","TOT","AGRWTH","A","2005",0.00882,
"IRL","MFP","TOT","AGRWTH","A","2006",0.280597,
"IRL","MFP","TOT","AGRWTH","A","2007",1.099966,
"IRL","MFP","TOT","AGRWTH","A","2008",-4.144579,
"IRL","MFP","TOT","AGRWTH","A","2009",1.200373,
"IRL","MFP","TOT","AGRWTH","A","2010",3.262802,
"IRL","MFP","TOT","AGRWTH","A","2011",0.659777,
"IRL","MFP","TOT","AGRWTH","A","2012",-1.268319,
"IRL","MFP","TOT","AGRWTH","A","2013",-2.904819,
"IRL","MFP","TOT","AGRWTH","A","2014",4.248357,
"IRL","MFP","TOT","AGRWTH","A","2016",-5.508843,
"IRL","MFP","TOT","AGRWTH","A","2017",2.531745,
"IRL","MFP","TOT","AGRWTH","A","2018",3.716079,
"IRL","MFP","TOT","AGRWTH","A","2019",-5.319791,
"IRL","MFP","TOT","AGRWTH","A","2020",4.919127,
"IRL","MFP","TOT","AGRWTH","A","2021",8.63368,
"IRL","MFP","TOT","AGRWTH","A","2022",6.750133,
"ITA","MFP","TOT","AGRWTH","A","1985",1.221393,
"ITA","MFP","TOT","AGRWTH","A","1986",0.880353,
"ITA","MFP","TOT","AGRWTH","A","1987",1.03791,
"ITA","MFP","TOT","AGRWTH","A","1988",1.895579,
"ITA","MFP","TOT","AGRWTH","A","1989",2.244504,
"ITA","MFP","TOT","AGRWTH","A","1990",0.121034,
"ITA","MFP","TOT","AGRWTH","A","1991",-0.543219,
"ITA","MFP","TOT","AGRWTH","A","1992",0.415533,
"ITA","MFP","TOT","AGRWTH","A","1993",0.675454,
"ITA","MFP","TOT","AGRWTH","A","1994",3.040889,
"ITA","MFP","TOT","AGRWTH","A","1995",2.192035,
"ITA","MFP","TOT","AGRWTH","A","1996",-0.377318,
"ITA","MFP","TOT","AGRWTH","A","1997",0.985545,
"ITA","MFP","TOT","AGRWTH","A","1998",-0.381401,
"ITA","MFP","TOT","AGRWTH","A","1999",-0.041283,
"ITA","MFP","TOT","AGRWTH","A","2000",1.969217,
"ITA","MFP","TOT","AGRWTH","A","2001",-0.04775,
"ITA","MFP","TOT","AGRWTH","A","2002",-1.554329,
"ITA","MFP","TOT","AGRWTH","A","2003",-1.316958,
"ITA","MFP","TOT","AGRWTH","A","2004",0.249879,
"ITA","MFP","TOT","AGRWTH","A","2005",-0.158936,
"ITA","MFP","TOT","AGRWTH","A","2006",-0.389676,
"ITA","MFP","TOT","AGRWTH","A","2007",-0.389752,
"ITA","MFP","TOT","AGRWTH","A","2008",-1.273435,
"ITA","MFP","TOT","AGRWTH","A","2009",-3.301557,
"ITA","MFP","TOT","AGRWTH","A","2010",1.735262,
"ITA","MFP","TOT","AGRWTH","A","2011",0.396946,
"ITA","MFP","TOT","AGRWTH","A","2012",-1.402031,
"ITA","MFP","TOT","AGRWTH","A","2013",-0.027343,
"ITA","MFP","TOT","AGRWTH","A","2014",0.04441,
"ITA","MFP","TOT","AGRWTH","A","2015",0.226651,
"ITA","MFP","TOT","AGRWTH","A","2016",0.036824,
"ITA","MFP","TOT","AGRWTH","A","2017",0.801856,
"ITA","MFP","TOT","AGRWTH","A","2018",0.101561,
"ITA","MFP","TOT","AGRWTH","A","2019",0.346729,
"ITA","MFP","TOT","AGRWTH","A","2020",-0.602448,
"ITA","MFP","TOT","AGRWTH","A","2021",1.092922,
"ITA","MFP","TOT","AGRWTH","A","2022",0.494067,
"JPN","MFP","TOT","AGRWTH","A","1985",3.339234,
"JPN","MFP","TOT","AGRWTH","A","1986",0.925614,
"JPN","MFP","TOT","AGRWTH","A","1987",2.487345,
"JPN","MFP","TOT","AGRWTH","A","1988",3.761776,
"JPN","MFP","TOT","AGRWTH","A","1989",2.409993,
"JPN","MFP","TOT","AGRWTH","A","1990",2.83399,
"JPN","MFP","TOT","AGRWTH","A","1991",1.146424,
"JPN","MFP","TOT","AGRWTH","A","1992",-0.452734,
"JPN","MFP","TOT","AGRWTH","A","1993",0.003781,
"JPN","MFP","TOT","AGRWTH","A","1994",0.01506,
"JPN","MFP","TOT","AGRWTH","A","1995",1.558702,
"JPN","MFP","TOT","AGRWTH","A","1996",1.241579,
"JPN","MFP","TOT","AGRWTH","A","1997",0.025365,
"JPN","MFP","TOT","AGRWTH","A","1998",-0.915944,
"JPN","MFP","TOT","AGRWTH","A","1999",0.550202,
"JPN","MFP","TOT","AGRWTH","A","2000",1.645313,
"JPN","MFP","TOT","AGRWTH","A","2001",0.041626,
"JPN","MFP","TOT","AGRWTH","A","2002",0.463635,
"JPN","MFP","TOT","AGRWTH","A","2003",0.778915,
"JPN","MFP","TOT","AGRWTH","A","2004",1.703314,
"JPN","MFP","TOT","AGRWTH","A","2005",0.921908,
"JPN","MFP","TOT","AGRWTH","A","2006",-0.052504,
"JPN","MFP","TOT","AGRWTH","A","2007",0.390108,
"JPN","MFP","TOT","AGRWTH","A","2008",-1.036141,
"JPN","MFP","TOT","AGRWTH","A","2009",-2.973357,
"JPN","MFP","TOT","AGRWTH","A","2010",3.275874,
"JPN","MFP","TOT","AGRWTH","A","2011",0.371614,
"JPN","MFP","TOT","AGRWTH","A","2012",1.041483,
"JPN","MFP","TOT","AGRWTH","A","2013",1.940137,
"JPN","MFP","TOT","AGRWTH","A","2014",-0.054931,
"JPN","MFP","TOT","AGRWTH","A","2015",1.507958,
"JPN","MFP","TOT","AGRWTH","A","2016",0.048741,
"JPN","MFP","TOT","AGRWTH","A","2017",0.893808,
"JPN","MFP","TOT","AGRWTH","A","2018",0.376783,
"JPN","MFP","TOT","AGRWTH","A","2019",0.217693,
"JPN","MFP","TOT","AGRWTH","A","2020",-2.122607,
"JPN","MFP","TOT","AGRWTH","A","2021",1.582038,
"JPN","MFP","TOT","AGRWTH","A","2022",0.732359,
"KOR","MFP","TOT","AGRWTH","A","1990",5.750934,
"KOR","MFP","TOT","AGRWTH","A","1991",5.503134,
"KOR","MFP","TOT","AGRWTH","A","1992",2.532154,
"KOR","MFP","TOT","AGRWTH","A","1993",2.751757,
"KOR","MFP","TOT","AGRWTH","A","1994",4.056494,
"KOR","MFP","TOT","AGRWTH","A","1995",3.840811,
"KOR","MFP","TOT","AGRWTH","A","1996",3.465793,
"KOR","MFP","TOT","AGRWTH","A","1997",3.889817,
"KOR","MFP","TOT","AGRWTH","A","1998",0.809136,
"KOR","MFP","TOT","AGRWTH","A","1999",7.311485,
"KOR","MFP","TOT","AGRWTH","A","2000",2.487049,
"KOR","MFP","TOT","AGRWTH","A","2001",1.540566,
"KOR","MFP","TOT","AGRWTH","A","2002",4.68606,
"KOR","MFP","TOT","AGRWTH","A","2003",2.48398,
"KOR","MFP","TOT","AGRWTH","A","2004",3.091656,
"KOR","MFP","TOT","AGRWTH","A","2005",3.082357,
"KOR","MFP","TOT","AGRWTH","A","2006",2.958597,
"KOR","MFP","TOT","AGRWTH","A","2007",4.53197,
"KOR","MFP","TOT","AGRWTH","A","2008",3.534109,
"KOR","MFP","TOT","AGRWTH","A","2009",1.564445,
"KOR","MFP","TOT","AGRWTH","A","2010",4.646794,
"KOR","MFP","TOT","AGRWTH","A","2011",1.639372,
"KOR","MFP","TOT","AGRWTH","A","2012",0.293368,
"KOR","MFP","TOT","AGRWTH","A","2013",1.228421,
"KOR","MFP","TOT","AGRWTH","A","2014",1.17081,
"KOR","MFP","TOT","AGRWTH","A","2015",0.451365,
"KOR","MFP","TOT","AGRWTH","A","2016",1.504316,
"KOR","MFP","TOT","AGRWTH","A","2017",2.57732,
"KOR","MFP","TOT","AGRWTH","A","2018",2.267928,
"KOR","MFP","TOT","AGRWTH","A","2019",1.313795,
"KOR","MFP","TOT","AGRWTH","A","2020",0.913839,
